Slice,Frame,Particles_in_Ch1,Particles_in_Ch2,Colocalized_ch1&ch2,%_Ch1_coloc_ch1&ch2,%_Ch2_coloc_ch1&ch2
1,1,26,22,1,3.846,4.545
2,1,19,20,1,5.263,5.000
3,1,20,22,0,0.000,0.000
4,1,20,18,0,0.000,0.000
5,1,17,17,1,5.882,5.882
6,1,18,15,1,5.556,6.667
7,1,18,17,0,0.000,0.000
8,1,20,20,0,0.000,0.000
9,1,19,18,0,0.000,0.000
10,1,18,20,1,5.556,5.000
11,1,18,21,0,0.000,0.000
12,1,18,18,0,0.000,0.000
13,1,22,15,1,4.545,6.667
14,1,22,21,0,0.000,0.000
15,1,19,25,0,0.000,0.000
16,1,18,23,0,0.000,0.000
17,1,21,24,2,9.524,8.333
18,1,19,26,2,10.526,7.692
19,1,18,22,2,11.111,9.091
20,1,19,23,1,5.263,4.348
